complete,unique_identifier,checkmark_completed,status,century,year_to_display,year_to_sort,place,revolt_name,description,encoded_description,citations,resource_links,video_link,latitude,longitude,latlong_status,presentation_folder,notes,remediation,graphic_artists
FALSE,ylEr8M,TRUE,Needs remediation (see Remediation column),1500,1540,1540,Dominican Republic,Dominican Revolt,"Captain Lemba, along with 3,000 Maroons, rebelled against the Spanish authorities. ( Insert Image 1) This leader ""utilized guerilla tactics to fight the Spanish on the island. Spanish authorities themselves acknowledged that the African rebel was an able military leader and was believed to be from the Kongo.(Insert Image 4) Lemba led a force of some 140 black warriors in his attacks...took needed supplies from the Spanish...and also freed African slaves they encountered."" He was captured in 1547 and was put to death, he is still memorialized in Santo Domingo with a statue at the Museum of Man. (Insert Image 2)","Captain Lemba, along with 3,000 Maroons, rebelled against the Spanish authorities. <img src=""/image1""> This leader ""utilized guerilla tactics to fight the Spanish on the island. Spanish authorities themselves acknowledged that the African rebel was an able military leader and was believed to be from the Kongo.<img src=""/image4""> Lemba led a force of some 140 black warriors in his attacks...took needed supplies from the Spanish...and also freed African slaves they encountered."" He was captured in 1547 and was put to death, he is still memorialized in Santo Domingo with a statue at the Museum of Man. <img src=""/image2"">","Image 2: https://alchetron.com/Sebasti%C3%A1n-Lemba Image 4: https://www.biografiasyvidas.com/biografia/c/carducho_vincenzo.htm The Rheinfelden Contest (1634) by Vincent Carducho (Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez ,eds. Greenwood Press: 2006, pp. 100-101)",,,18.4861,-69.9312,Precise,https://drive.google.com/drive/folders/1kqLN68onv5wmBknNViEjB5rYMuYBNWrl?usp=sharing,,Missing/inaccurate image source (image 1),
FALSE,zfmJfT,TRUE,Needs remediation (see Remediation column),1500,1546,1546,Peru,,"(Insert Image 1)The Spanish crown had issued an edict to protect the natives from slavery and limit privileges of the Conquistadores, in reaction to these edicts, Gonzalo Pizarro led this revolt against the Spanish crown. Some Africans and natives enjoined in the rebellion as they were promised freedom. It was ""...one of Pizarro's African slaves who was charged with the task of murdering Blasco Nunez Vela, the first viceroy of Peru, in 1546. Once this high-ranking Spanish official was killed, he was decapitated, and his head was displayed on a pike"". However, the result led to the protection of the indigenous and the expansion of African slavery. Insert image 3)","<img src=""/image1"">The Spanish crown had issued an edict to protect the natives from slavery and limit privileges of the Conquistadores, in reaction to these edicts, Gonzalo Pizarro led this revolt against the Spanish crown. Some Africans and natives enjoined in the rebellion as they were promised freedom. It was ""...one of Pizarro's African slaves who was charged with the task of murdering Blasco Nunez Vela, the first viceroy of Peru, in 1546. Once this high-ranking Spanish official was killed, he was decapitated, and his head was displayed on a pike"". However, the result led to the protection of the indigenous and the expansion of African slavery. <img src=""/image3"">",,not yet found,,-12.5728,17.6689,Precise,https://drive.google.com/drive/folders/1N8zvtkMqsvL22Wjq8uZL0Cpjc2kqw609?usp=sharing,needs info/ presentation slide has errors or incomplete,No citations. No image sources,
FALSE,jj2y6g,FALSE,Needs remediation (see Remediation column),1500,1550,1550,"Cartegena, Columbia",,"There is historical evidence of a slave revolt that took place in Cartagena, Colombia, in 1550. A group of enslaved Africans led the rebellion brought to the region by Spanish colonizers to work on sugar plantations and in mines. The rebellion began when a group of slaves, led by an enslaved African named Bayano, escaped from their plantation and fled to the mountains. There, they formed a community of escaped slaves and began to raid Spanish settlements, freeing other enslaved people and attacking their former masters. The rebellion was successful for a time, and the escaped slaves managed to gain control of a large part of the region. However, the Spanish authorities eventually crushed the revolt and captured Bayano and other rebellion leaders. Bayano was executed, and many other slaves were punished harshly, including torture, mutilation, and being burned alive. Despite this, the revolt had a lasting impact on the region, and it helped to inspire other slave rebellions throughout the Americas",,,,,,,,,,No folder. No citations. Missing/inaccurate lat/long,
FALSE,Ntrgty,TRUE,,1500,1552,1552,"Buria, Venezuela",,"The 1552 slave revolt in Buria, Venezuela, was one of the earliest and largest slave rebellions in the Americas, lasting over three years. El Negro Miguel led the revolt with a group of enslaved Africans brought to the area to work on sugar plantations. Miguel escaped slavery after the master tried to punish him; he grabbed the sword and fought back. (Insert Image 2) Miguel founded a settlement populated by Africans and Indigenous peoples, called a Cimarrón or Cumbe (escaped slave). He proclaimed himself the King, taking a queen, Guiomar, and establishing draconian rules to maintain order. Due to its location, it became necessary to wage attacks on small farms and plantations to acquire food and supplies. (image 3) Miguel would build an army of up to 1,500 people. The rebellion began on July 26, 1552, and quickly spread throughout the region; the settlement would be sieged with battles throughout his reign. (Image 4) The slaves seized control of several plantations and fought against Spanish troops sent to suppress the rebellion. In 1554, they captured a town, and killed a priest and six others. The revolt's aftermath was brutal, with many slaves being executed or forced to flee into the surrounding wilderness. After the killing of Miguel, many of the enslaved lost hope; most were executed, and the women and children were sent to surrounding plantations. (Images 5 & 6)","The 1552 slave revolt in Buria, Venezuela, was one of the earliest and largest slave rebellions in the Americas, lasting over three years. El Negro Miguel led the revolt with a group of enslaved Africans brought to the area to work on sugar plantations. Miguel escaped slavery after the master tried to punish him; he grabbed the sword and fought back. <img src=""/image2""> Miguel founded a settlement populated by Africans and Indigenous peoples, called a Cimarrón or Cumbe (escaped slave). He proclaimed himself the King, taking a queen, Guiomar, and establishing draconian rules to maintain order. Due to its location, it became necessary to wage attacks on small farms and plantations to acquire food and supplies. <img src=""/image3""> Miguel would build an army of up to 1,500 people. The rebellion began on July 26, 1552, and quickly spread throughout the region; the settlement would be sieged with battles throughout his reign. <img src=""/image4""> The slaves seized control of several plantations and fought against Spanish troops sent to suppress the rebellion. In 1554, they captured a town, and killed a priest and six others. The revolt's aftermath was brutal, with many slaves being executed or forced to flee into the surrounding wilderness. After the killing of Miguel, many of the enslaved lost hope; most were executed, and the women and children were sent to surrounding plantations. <img src=""/image5""> <img src=""/image6"">","image1: http://leopoldest.blogspot.com/2016/11/pedro-centeno-vallenilla-pintor-de-la.html https://en.wikipedia.org/wiki/Afro-Venezuelan and https://www.globalafricanworker.com/content/afro-venezuelan-struggles-constitutional-recognition and https://tvamediapro.wordpress.com/2018/02/20/el-rey-miguel-y-su-reina-guiomar/ Image 1 Public DomainImage; Image 2 Library Company of Philadelphia Image 3 Public Domain 4,Public Domain Image 5 Public Domain Image 6 Statue at Plaza Negro Miguel, El Cuadrado, Barquisimeto, Venezuela. B.B. Wagner, Slave Turned King: The Rule of Miguel de Buria of Venezuela, https://www.ancient-origins.net/history-famous-people/miguel-de-buria-0014059",not yet found,,10.0115,-68.8065,Precise,https://drive.google.com/drive/folders/1OfbBeiQlICkYy0I6K8nhud1a32Ch_l7Z?usp=sharing,,,
FALSE,cxTA9o,TRUE,,1500,1570,1570,"Veracruz, Mexico",,"(Insert Image) Gasper Yanga, a descendant of royalty from Gabon, led a revolt against the Spanish in 1570. There were a series of uprisings between 1540 and 1600 against the Spanish crown, but what distinguishes this one is that it successfully created a settlement of freed Africans, the first one in the Americas, established in 1630. At its peak, there were up to 500 African and Indian settlers in the Maroon that was initially named San Lorenzo de los Negros and renamed Yanga in 1932. The Spanish made many failed attempts to subdue the Africans, leading to a treaty signed in 1608 that held, among other things, that those in the settlement at that time would remain free, but anyone coming after 1608 would be returned to their masters.","<img src=""/image1""> Gasper Yanga, a descendant of royalty from Gabon, led a revolt against the Spanish in 1570. There were a series of uprisings between 1540 and 1600 against the Spanish crown, but what distinguishes this one is that it successfully created a settlement of freed Africans, the first one in the Americas, established in 1630. At its peak, there were up to 500 African and Indian settlers in the Maroon that was initially named San Lorenzo de los Negros and renamed Yanga in 1932. The Spanish made many failed attempts to subdue the Africans, leading to a treaty signed in 1608 that held, among other things, that those in the settlement at that time would remain free, but anyone coming after 1608 would be returned to their masters.",image1: http://leopoldest.blogspot.com/2016/11/pedro-centeno-vallenilla-pintor-de-la.html,https://atlantablackstar.com/2016/05/19/watch-how-afro-mexican-freedom-fighter-gaspar-yanga-help-freed-enslaved-africans-in-mexico-in-this-animated-web-series/,,19.1738,-96.1342,Precise,https://drive.google.com/drive/folders/1Hp6YjsmrOH8cUh5tI9Vu_b08MsoPuC8L?usp=sharing,,,
FALSE,HWqqeJ,TRUE,Needs remediation (see Remediation column),1500,1595,1595,"São Tomé, Brazil",Amador,"(insertimage) In 1544, a slave ship sank south of the island of São Tomé and the escaped survivors settled in S. João dos Angolares. For several centuries they led a parallel life, also seizing from time to time the riches stored by others. (insertimage1)Armed with bows and spears and speaking a Bantu language, Amador became the hero of São Tomé power in.through conquest in 1595. He was able to maintain power for a while until the Portuguese managed to recapture it. In terms of size, duration, and impact, this can be considered one of the biggest slave revolts in all of Atlantic history; around 5000 blacks involved, which corresponded to half the slave population of the time in the island. Amador is still present in everyone's memory, and his profile is currently on all the banknotes of the country's currency, the duplicate, da dobra(insertimage3). This adventure is reminiscent of the quilombos of Brazil but unlike what happened in Portuguese-speaking America, the Angolares kept their freedom for a long time. The 4th of January of 1596 became a National Holiday.(insertimage2)","In 1544, a slave ship sank south of the island of São Tomé and the escaped survivors settled in S. João dos Angolares. For several centuries they led a parallel life, also seizing from time to time the riches stored by others. <img src=""/image1""> Armed with bows and spears and speaking a Bantu language, Amador became the hero of São Tomé power in.through conquest in 1595. He was able to maintain power for a while until the Portuguese managed to recapture it. In terms of size, duration, and impact, this can be considered one of the biggest slave revolts in all of Atlantic history; around 5000 blacks involved, which corresponded to half the slave population of the time in the island. Amador is still present in everyone's memory, and his profile is currently on all the banknotes of the country's currency, the duplicate, da dobra<img src=""/image3"">. This adventure is reminiscent of the quilombos of Brazil but unlike what happened in Portuguese-speaking America, the Angolares kept their freedom for a long time. The 4th of January of 1596 became a National Holiday.<img src=""/image2"">",Image 1: https://squaredawayblog.bc.edu/squared-away/going-abroad-is-currency-a-work-of-art/ Sao Tomean Dobra Image 2: https://eportuguese.blogspot.com/2012/05/rei-amador-sao-tome-e-principe.html Bust of the Amateur King Images and text by: Raquel Lima,Raquel Lima,,0.1864,6.6131,Precise,https://drive.google.com/drive/folders/1ytDKTvX75wh-KCHNrZk9fsjE-FvqnCqx?usp=sharing,only two image citations found,Missing/inaccurate image source (image 3),Lori Wushensky enhanced PPT
FALSE,GfCSbi,TRUE,,1500,1596,1596,Colombia,,"Benkos Bioho organized a slave revolt involving nearly three dozen people. The rebellion included his wife, Wiwa, and a grown daughter, Orika, among thirty others he led deep into the forest. They formed and defended one of the longest-lasting maroon settlements in the Americas, San Basilio de Palenque, near Cartagena. (Insert image) They launched several attacks on Spanish settlements and plantations, freeing other slaves and recruiting them into their community. The Spanish authorities led military campaigns to suppress the revolt but could not capture Bioho Eventually, they offered him and his followers a pardon if they surrendered. The Spanish reneged and executed Bioho.","Benkos Bioho organized a slave revolt involving nearly three dozen people. The rebellion included his wife, Wiwa, and a grown daughter, Orika, among thirty others he led deep into the forest. They formed and defended one of the longest-lasting maroon settlements in the Americas, San Basilio de Palenque, near Cartagena. <img src=""/image1""> They launched several attacks on Spanish settlements and plantations, freeing other slaves and recruiting them into their community. The Spanish authorities led military campaigns to suppress the revolt but could not capture Bioho Eventually, they offered him and his followers a pardon if they surrendered. The Spanish reneged and executed Bioho.","https://revista.drclas.harvard.edu/book/african-and-afro-indian-rebel-leaders-latin-america-con-tanta-arrogancia Herbert S. Klein, African Slavery in Latin America and the Caribbean New York: Oxford University Press, 1986.",,,4.5709,-74.2973,Approximate,https://drive.google.com/drive/folders/1BMXDOZK_F8H9Su8ch9DAuEZLLG-axhAB?usp=sharing,,,
FALSE,R2TmKr,FALSE,Needs remediation (see Remediation column),1500,1597,1597,Georgia,,"Guadalquini‚Äîan original name of St. Simons Island. In 1597, an Indian uprising resulted in the deaths of four Franciscan priests and one brother, known by history as the Georgia Martyrs. (A relief of the martyrs hangs in the St. Williams Church on St. Simons.) One priest, Father Velascola, was executed on St. Simons Island. The Spanish tried to re-establish their missions, but by 1680, they had retreated from Georgia to St. Augustine, Florida, leaving behind a greatly reduced population of Indians, who had suffered under Spanish rule. Yammasee Revolt is said to have involved some enslaved Africans.",,,https://www.pbs.org/video/true-story-behind-guale-uprising-xjihmr/,,31.6289,-81.1527,Precise,https://drive.google.com/drive/folders/10Mjo6Ny8_fYWD9lq6jRjDfj2qXyLam61?usp=sharing,Slide not located,No citations,
FALSE,MDkO1w,TRUE,,1600,1612,1612,Mexico City,,"There were several uprisings in Mexico, one leading the way for another. In 1611 an African woman was killed from the cruelty of her master. In response, the African Brotherhood, a confraternity of Africans, carried her body in the funeral procession. At this point, rumors began that all white men would be killed and the women kept as concubines. The Spanish responded with harsh restrictions on the Black Mexicans, restricting movement and the ability to assemble. This event became the precursor to the 1612 plot; when munitions were found among the enslaved, the executions began. Thirty-five blacks, including seven women, were publicly hanged in the central plaza of Mexico City for plotting an uprising of enslaved Black people to overthrow Spanish power in Mexico, 24 were beheaded, and some were quartered and their bodies left to rot in the streets (Insert image).","There were several uprisings in Mexico, one leading the way for another. In 1611 an African woman was killed from the cruelty of her master. In response, the African Brotherhood, a confraternity of Africans, carried her body in the funeral procession. At this point, rumors began that all white men would be killed and the women kept as concubines. The Spanish responded with harsh restrictions on the Black Mexicans, restricting movement and the ability to assemble. This event became the precursor to the 1612 plot; when munitions were found among the enslaved, the executions began. Thirty-five blacks, including seven women, were publicly hanged in the central plaza of Mexico City for plotting an uprising of enslaved Black people to overthrow Spanish power in Mexico, 24 were beheaded, and some were quartered and their bodies left to rot in the streets <img src=""/image1"">.","Andrew J. Torget and Nicole von Germenten in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez ,eds. Greenwood Press: 2006, pp. 319-322.",,,19.4326,-99.1332,Precise,https://drive.google.com/drive/folders/1VqUAswwYQmaicvj_Vs5ayhc-j7pQrFJb?usp=sharing,,,Angela Davis Johnson
FALSE,8KsSYY,FALSE,Needs remediation (see Remediation column),1600,1622,1622,Angola,Battle of Mbumbi,"Battle of Mbumbi between the Portuguese and the Kongo-reflects how the Africans were initially complicit with the Portuguese but as the latter strenghened its foothole they wanted to expand. The Portuguese, with the assistance of 20,000 Mbunbu were victorious in taking over the area (insert image).",,,,,-11.2027,17.8739,Approximate,https://drive.google.com/drive/folders/1OEMyAET85dZQupuPBGnGibwF_yzdSwwt?usp=sharing,citaions needed,No citations,
